Name,Exchange,SuperSector
Absa Bank Kenya PLC (ABSA),XNAI,Banking
Bamburi Cement Ltd. (BAMB),XNAI,Building Materials/Products
BK Group PLC (BKG),XNAI,Banking
BOC Kenya Ltd. (BOC),XNAI,Chemicals
Britam Holdings Ltd. (BRIT),XNAI,Full-Line Insurance
British American Tobacco (Kenya) Ltd. (BAT),XNAI,Tobacco
Car & General (Kenya) Ltd. (CGEN),XNAI,Specialty Retail
Carbacid Investments Ltd. (CARB),XNAI,Chemicals
Centum Investment Co. PLC (CTUM),XNAI,Investment Advisors
CIC Insurance Group Ltd. (CIC),XNAI,Full-Line Insurance
Co-operative Bank of Kenya Ltd. (COOP),XNAI,Banking
Crown Paints Kenya PLC (CRWN),XNAI,Building Materials/Products
Diamond Trust Bank Kenya Ltd. (DTK),XNAI,Banking
Eaagads Ltd. (EGAD),XNAI,Farming
East African Breweries Ltd. (EABL),XNAI,Alcoholic Beverages/Drinks
East African Cables Ltd. (CABL),XNAI,Industrial Electronics
East African Portland Cement Co. Ltd. (PORT),XNAI,Building Materials/Products
Equity Group Holdings Ltd. (EQTY),XNAI,Banking
Eveready East Africa Ltd. (EVRD),XNAI,Industrial Electronics
Express (Kenya) Ltd. (XPRS),XNAI,Transportation Services
Flame Tree Group (FTGH),XNAI,Personal Care Products/Appliances
HF Group Ltd. (HFCK),XNAI,Mortgages
Home Afrika Ltd. (HAFR),XNAI,Real Estate Developers
I&M Group PLC (IMH),XNAI,Banking
Jubilee Holdings Ltd. (JUB),XNAI,Non-Life Insurance
Kakuzi PLC (KUKZ),XNAI,Farming
Kapchorua Tea Co. Ltd. (KAPC),XNAI,Farming
KCB Group Ltd. (KCB),XNAI,Banking
Kenya Electricity Generating Co. Ltd. (KEGN),XNAI,Electric Utilities
Kenya Power & Lighting Co. Ltd. (KPLC),XNAI,Electric Utilities
Kenya Reinsurance Corp. Ltd. (KNRE),XNAI,Reinsurance
Liberty Kenya Holdings PLC (LBTY),XNAI,Full-Line Insurance
Limuru Tea Co. Ltd. (LIMT),XNAI,Farming
Longhorn Publishers Ltd. (LKL),XNAI,Publishing
Nairobi Business Ventures Ltd. (NBV),XNAI,Clothing Retail
Nairobi Securities Exchange Ltd. (NSE),XNAI,Securities
Nation Media Group (NMG),XNAI,Publishing
NCBA Group PLC (NCBA),XNAI,Banking
Olympia Capital Holdings Ltd. (OCH),XNAI,Building Materials/Products
Safaricom PLC (SCOM),XNAI,Wireless Telecommunications Services
Sameer Africa Ltd. (SMER),XNAI,Tires
Sanlam Kenya PLC (SLAM),XNAI,Full-Line Insurance
Sasini Ltd. (SASN),XNAI,Non-Alcoholic Beverages/Drinks
Stanbic Holdings PLC (SBIC),XNAI,Banking
Standard Chartered Bank Kenya Ltd. (SCBK),XNAI,Banking
Standard Group Ltd. (SGL),XNAI,Publishing
STANLIB Fahari Income REIT (FAHR),XNAI,Diversified REITs
Total Kenya Ltd. (TOTL),XNAI,Major Oil & Gas
TPS Eastern Africa (Serena) Ltd. (TPSE),XNAI,Hotels
Trans-Century PLC (TCL),XNAI,Industrial Electronics
Uchumi Supermarkets Ltd. (UCHM),XNAI,Food Retail
Umeme Ltd. (UMME),XNAI,Electric Utilities
Unga Group Ltd. (UNGA),XNAI,Food Products
Williamson Tea Kenya Ltd. (WTK),XNAI,Farming
WPP Scangroup Ltd. (SCAN),XNAI,Advertising/Marketing/Public Relations
